user,friend
44,1329
44,1416
44,1447
44,1476
44,1522
44,1818
45,55
45,202
45,254
45,386
45,467
45,485
45,521
45,681
45,683
45,885
45,929
45,938
45,947
45,1137
45,1216
45,1336
45,1409
45,1416
45,1457
45,1487
45,1676
45,1679
45,1782
46,42
46,83
46,128
46,169
46,180
46,236
46,290
46,307
46,386
46,502
46,524
46,531
46,534
46,643
46,675
46,787
46,817
46,917
46,922
46,980
46,1008
46,1018
46,1139
46,1140
46,1207
46,1212
46,1228
46,1295
46,1296
46,1325
46,1365
46,1394
46,1411
46,1445
46,1472
46,1580
46,1627
46,1697
46,1766
46,1786
46,1867
47,120
47,185
47,278
47,664
47,738
47,772
47,1144
47,1359
48,56
48,102
48,122
48,151
48,190
48,196
48,318
48,368
48,459
48,467
48,498
48,512
48,629
48,661
48,682
48,701
48,798
48,803
48,892
48,935
48,1107
48,1144
48,1164
48,1169
48,1249
48,1379
48,1381
48,1402
48,1432
48,1508
48,1641
48,1769
48,1772
48,1781
48,1809
49,147
49,1569
50,115
50,217
50,289
50,363
50,378
50,656
50,798
50,1228
50,1334
50,1359
50,1729
51,311
51,509
51,809
51,1188
51,1504
51,1830
52,1251
53,237
53,447
53,620
53,976
53,1040
53,1344
53,1381
53,1443
54,96
54,124
54,127
54,140
54,187
54,190
54,212
54,219
54,230
54,329
54,359
54,496
54,740
54,784
54,867
54,870
54,875
54,904
54,965
54,1218
54,1223
54,1375
54,1380
54,1561
54,1604
54,1820
54,1851
55,44
55,45
55,56
55,115
55,128
55,169
55,191
55,217
55,241
55,289
55,316
55,359
55,372
55,373
55,388
55,397
55,408
55,481
55,492
55,498
55,500
55,502
55,533
55,553
55,576
55,588
55,590
55,600
55,632
55,655
55,681
55,739
55,757
55,814
55,817
55,840
55,867
55,885
55,932
55,938
55,964
55,967
55,988
55,1018
55,1031
55,1045
55,1050
55,1085
55,1137
55,1176
55,1181
55,1216
55,1220
55,1228
55,1235
55,1254
55,1308
55,1313
55,1317
55,1378
55,1409
55,1457
55,1469
55,1487
55,1504
55,1636
55,1671
55,1689
55,1760
55,1770
55,1782
55,1802
55,1805
55,1818
55,1836
55,1856
55,1868
56,19
56,34
56,48
56,55
56,183
56,248
56,349
56,362
56,396
56,404
56,410
56,423
56,424
56,450
56,467
56,487
56,577
56,607
56,643
56,707
56,772
56,830
56,891
56,898
56,915
56,972
56,1029
56,1063
56,1106
56,1127
56,1164
56,1190
56,1216
56,1230
56,1232
56,1359
56,1394
56,1447
56,1466
56,1475
56,1567
56,1762
56,1802
56,1807
56,1816
56,1825
56,1835
57,74
57,995
57,1848
58,921
58,1384
59,28
59,198
59,249
59,413
59,537
59,617
59,772
59,972
59,1063
59,1064
59,1106
59,1121
59,1368
59,1500
59,1559
59,1658
59,1835
59,1874
60,81
60,109
60,628
60,689
60,702
60,804
60,823
60,873
60,904
60,1071
60,1100
60,1144
60,1158
60,1263
60,1781
60,1871
61,378
61,380
61,590
61,1103
61,1466
61,1481
61,1587
61,1721
62,113
62,1012
62,1192
62,1454
62,1565
63,337
63,401
63,421
63,635
63,651
63,944
63,1103
63,1144
63,1314
64,131
64,227
64,317
64,339
64,1034
64,1075
65,159
65,575
65,1090
65,1270
66,622
66,733
66,826
66,920
66,940
66,1420
67,200
67,824
67,1201
67,1394
68,932
68,1137
68,1161
68,1689
69,709
69,790
69,925
69,952
69,1102
69,1103
69,1700
69,1858
70,497
70,1180
70,1672
70,1878
71,282
71,294
71,358
71,439
71,626
71,1185
71,1447
71,1485
71,1502
71,1570
71,1676
72,492
72,677
72,1540
72,1762
73,554
73,607
73,904
73,1555
74,1
74,36
74,37
74,57
74,87
74,100
74,101
74,107
74,130
74,147
74,149
74,180
74,238
74,240
74,245
74,338
74,409
74,415
74,417
74,423
74,437
74,473
74,479
74,486
74,512
74,514
74,516
74,609
74,618
74,647
74,670
74,680
74,745
74,747
74,764
74,777
74,810
74,837
74,838
74,843
74,853
74,855
74,862
74,863
74,874
74,939
74,941
74,1004
74,1007
74,1049
74,1077
74,1104
74,1156
74,1167
74,1194
74,1229
74,1260
74,1269
74,1406
74,1421
74,1446
74,1448
74,1460
74,1462
74,1550
74,1553
74,1563
74,1568
74,1598
74,1625
74,1650
74,1663
74,1700
74,1705
74,1707
74,1797
74,1804
74,1807
74,1827
74,1845
74,1862
75,115
75,128
75,138
75,202
75,218
75,241
75,243
75,282
75,289
75,317
75,363
75,373
75,387
75,394
75,408
75,448
75,450
75,454
75,467
75,481
75,498
75,500
75,553
75,675
75,681
75,698
75,707
75,787
75,797
75,867
75,916
75,937
75,1018
75,1138
75,1176
75,1216
75,1218
75,1359
75,1369
75,1569
75,1593
75,1676
75,1760
75,1818
75,1856
75,1880
76,19
76,160
76,182
76,211
76,244
76,327
76,544
76,858
76,1178
76,1337
76,1357
76,1444
76,1695
77,849
77,1363
78,1379
79,1215
79,1255
79,1319
80,38
80,190
80,823
80,974
81,60
81,151
81,211
81,404
81,648
81,769
81,841
81,1144
81,1164
81,1249
81,1344
81,1468
81,1745
82,1280
82,1515
83,46
83,294
83,577
83,643
83,717
83,922
83,968
83,1472
83,1867
84,1748
85,146
85,675
86,555
86,702
86,1011
86,1190
86,1434
86,1816
86,1835
87,74
87,660
87,745
87,1144
88,593
89,1144
89,1494
89,1542
89,1719
90,492
90,623
90,653
90,888
90,1010
90,1239
91,123
91,400
91,709
91,1103
91,1507
92,1569
93,115
93,187
93,373
93,386
93,481
93,553
93,643
93,653
93,723
93,726
93,1140
93,1488
94,2
94,28
94,119
94,181
94,198
94,199
94,278
94,284
94,286
94,349
94,369
94,416
94,429
94,467
94,487
94,528
94,537
94,539
94,603
94,617
94,638
94,710
94,714
94,798
94,877
94,1062
94,1063
94,1064
94,1070
94,1106
94,1142
94,1197
94,1216
94,1368
94,1441
94,1482
94,1491
94,1658
94,1874
95,1144
96,54
96,187
96,190
96,230
96,496
96,886
96,904
96,996
96,1061
96,1152
96,1257
96,1373
96,1571
96,1826
96,1866
97,1095
97,1749
98,1062
98,1352
99,521
99,619
99,1164
99,1416
99,1472
99,1841
100,74
100,123
100,344
100,1625
101,74
102,20
102,38
102,48
102,103
102,108
102,221
102,353
102,369
102,457
102,483
102,552
102,572
102,591
102,637
102,663
102,769
102,798
102,1234
102,1346
102,1381
102,1387
102,1405
102,1508
102,1593
103,102
103,510
103,542
103,808
103,852
103,1139
103,1394
104,296
104,375
104,428
104,648
104,661
104,841
104,1071
104,1144
104,1190
104,1344
104,1536
105,131
105,215
105,218
105,254
105,311
105,356
105,363
105,533
105,577
105,592
105,642
105,665
105,669
105,723
105,760
105,772
105,792
105,809
105,840
105,978
105,1000
105,1018
105,1181
105,1306
105,1418
105,1450
105,1795
105,1836
105,1858
106,194
106,253
106,323
106,406
106,560
106,721
106,795
106,1359
106,1513
106,1585
106,1682
107,74
107,567
107,997
107,1650
107,1663
108,102
108,200
108,1032
108,1264
108,1267
109,60
109,151
109,296
109,648
109,775
109,813
109,823
109,1144
109,1344
109,1536
109,1704
110,596
110,946
110,1044
110,1157
110,1847
111,215
111,384
111,410
111,851
112,177
112,421
112,530
112,556
112,651
112,709
112,732
112,1103
112,1106
112,1368
112,1814
113,62
113,1175
113,1745
114,515
114,832
114,1264
114,1344
114,1394
115,50
115,55
115,75
115,93
115,222
115,305
115,372
115,481
115,502
115,517
115,553
115,588
115,590
115,600
115,636
115,642
115,681
115,698
115,702
115,723
115,739
115,740
115,776
115,792
115,840
115,916
115,938
115,1018
115,1045
115,1050
115,1179
115,1181
115,1228
115,1235
115,1239
115,1275
115,1308
115,1317
115,1378
115,1591
115,1643
115,1671
115,1697
115,1713
115,1851
116,43
116,137
116,219
116,285
116,340
116,388
116,600
116,702
116,755
116,938
116,966
116,969
116,1045
116,1138
116,1160
116,1249
116,1408
116,1410
116,1416
116,1540
116,1818
116,1837
117,13
117,34
117,276
117,423
117,460
117,475
117,644
117,812
117,1021
117,1066
117,1113
117,1139
117,1158
117,1164
117,1498
117,1554
117,1613
117,1647
117,1847
118,607
119,2
119,94
119,198
119,199
119,204
119,247
119,256
119,257
119,369
119,370
119,467
119,487
119,617
119,772
119,798
119,1117
119,1121
119,1165
119,1216
119,1467
119,1482
119,1658
120,47
120,278
120,366
120,440
120,648
120,681
120,703
120,738
120,822
120,1359
120,1376
120,1403
120,1494
120,1536
120,1543
120,1655
120,1704
121,791
121,1008
121,1034
121,1436
121,1628
122,10
122,48
122,288
122,296
122,341
122,403
122,682
122,915
122,1012
122,1030
122,1092
122,1144
122,1164
122,1213
122,1238
122,1344
122,1394
122,1502
122,1507
122,1702
122,1720
122,1788
122,1802
122,1841
122,1881
123,91
123,100
123,135
123,205
123,257
123,401
123,407
123,455
123,482
123,529
123,607
123,635
123,666
123,709
123,732
123,810
123,883
123,1020
123,1097
123,1103
123,1106
123,1431
123,1456
123,1459
123,1572
123,1686
123,1708
123,1719
123,1740
123,1763
123,1784
124,9
124,54
124,125
124,138
124,155
124,169
124,218
124,222
124,231
124,239
124,254
124,259
124,289
124,318
124,359
124,363
124,394
124,408
124,420
124,450
124,466
124,471
124,492
124,566
124,568
124,577
124,590
124,669
124,681
124,683
124,724
124,756
124,757
124,772
124,840
124,932
124,942
124,958
124,975
124,978
124,1000
124,1008
124,1034
124,1045
124,1046
124,1050
124,1080
124,1181
124,1182
124,1190
124,1209
124,1228
124,1281
124,1306
124,1313
124,1336
124,1347
124,1359
124,1404
124,1445
124,1485
124,1491
124,1497
124,1588
124,1591
124,1595
124,1597
124,1606
124,1643
124,1644
124,1710
124,1768
124,1795
124,1836
124,1858
125,124
125,140
125,222
125,227
125,239
125,254
125,318
125,359
125,378
125,466
125,576
125,627
125,734
125,771
125,978
125,981
125,1034
125,1181
125,1182
125,1404
125,1591
125,1710
125,1858
126,1098
126,1532
127,43
127,44
127,54
127,140
127,212
127,282
127,392
127,531
127,642
127,717
127,756
127,757
127,771
127,967
127,1008
127,1045
127,1085
127,1140
127,1176
127,1228
127,1298
127,1375
127,1409
127,1473
127,1488
127,1570
127,1597
127,1644
127,1676
127,1818
127,1820
127,1851
128,10
128,27
128,46
128,55
128,75
128,131
128,140
128,152
128,155
128,202
128,213
128,236
128,290
128,310
128,313
128,348
128,372
128,387
128,397
128,465
128,481
128,531
128,534
128,771
128,817
128,857
128,867
128,888
128,965
128,981
128,988
128,1028
128,1034
128,1148
128,1160
128,1207
128,1285
128,1408
128,1409
128,1416
128,1439
128,1476
128,1522
128,1561
128,1592
128,1612
128,1628
128,1636
128,1697
128,1826
128,1864
129,140
129,212
129,254
129,310
129,363
129,492
129,495
129,498
129,816
129,817
129,967
129,1094
129,1140
129,1186
129,1277
129,1336
129,1359
129,1380
129,1818
130,37
130,74
130,303
130,473
130,1207
130,1443
130,1790
130,1804
131,9
131,21
131,27
131,64
131,105
131,128
131,139
131,215
131,236
131,239
131,254
131,267
131,290
131,307
131,339
131,348
131,363
131,394
131,458
131,466
131,509
131,669
131,675
131,709
131,750
131,817
131,834
131,868
131,916
131,969
131,978
131,980
131,1118
131,1140
131,1148
131,1188
131,1191
131,1212
131,1248
131,1298
131,1306
131,1324
131,1336
131,1369
131,1371
131,1409
131,1416
131,1418
131,1437
131,1525
131,1818
131,1880
132,1655
132,1724
132,1864
133,154
133,362
133,857
133,904
133,1710
133,1713
133,1801
134,562
134,1103
134,1338
135,123
135,666
135,1103
136,34
136,37
136,173
136,247
136,252
136,257
136,380
136,400
136,401
136,422
136,423
136,449
136,482
136,504
136,534
136,556
136,618
136,635
136,670
136,742
136,772
136,936
136,952
136,1029
136,1048
136,1056
136,1080
136,1103
136,1123
136,1134
136,1139
136,1144
136,1237
136,1249
136,1260
136,1271
136,1322
136,1368
136,1392
136,1393
136,1446
136,1481
136,1601
136,1700
136,1715
136,1736
136,1793
136,1825
136,1852
137,13
137,14
137,40
137,116
137,138
137,151
137,189
137,243
137,264
137,289
137,296
137,333
137,341
137,361
137,363
137,404
137,413
137,423
137,426
137,577
137,590
137,635
137,644
137,693
137,702
137,703
137,757
137,758
137,787
137,790
137,798
137,840
137,852
137,864
137,869
137,878
137,916
137,994
137,996
137,1002
137,1019
137,1044
137,1054
137,1066
137,1106
137,1136
137,1139
137,1140
137,1142
137,1144
137,1164
137,1166
137,1301
137,1359
137,1435
137,1466
137,1595
137,1686
137,1689
137,1721
137,1736
137,1784
137,1807
137,1810
137,1847
137,1871
138,75
138,124
138,137
138,140
138,202
138,217
138,222
138,243
138,289
138,301
138,332
138,355
138,378
138,454
138,467
138,517
138,636
138,642
138,675
138,681
138,705
138,840
138,1018
138,1137
138,1161
138,1181
138,1228
138,1359
138,1595
138,1782
139,9
139,131
139,144
139,155
139,209
139,218
139,227
139,267
139,290
139,339
139,388
139,392
139,471
139,509
139,553
139,566
139,577
139,634
139,677
139,707
139,787
139,916
139,1008
139,1011
139,1043
139,1281
139,1285
139,1306
139,1369
139,1391
139,1415
139,1469
139,1504
139,1588
139,1597
139,1655
139,1710
139,1729
139,1766
139,1820
139,1858
140,10
140,43
140,54
140,125
140,127
140,128
140,129
140,138
140,152
140,169
140,212
140,213
140,222
140,289
140,363
140,386
140,394
140,450
140,481
140,501
140,626
140,677
140,698
140,756
140,757
140,816
140,914
140,948
140,958
140,1037
140,1161
140,1228
140,1281
140,1306
140,1313
140,1321
140,1329
140,1336
140,1412
140,1522
140,1525
140,1556
140,1570
140,1597
140,1697
140,1713
140,1729
140,1836
140,1837
140,1858
141,218
141,356
141,509
141,533
141,586
141,619
141,665
141,760
141,1039
141,1148
141,1518
141,1864
142,783
143,4
143,340
143,341
143,348
143,475
143,807
143,830
143,928
143,1249
143,1394
143,1502
143,1655
143,1685
143,1841
144,21
144,139
144,218
144,222
144,267
144,317
144,348
144,388
144,390
144,392
144,394
144,475
144,481
144,488
144,509
144,543
144,546
144,642
144,654
144,669
144,681
144,683
144,791
144,817
144,865
144,888
144,903
144,1045
144,1053
144,1082
144,1093
144,1094
144,1160
144,1239
144,1285
144,1306
144,1317
144,1334
144,1415
144,1485
144,1496
144,1635
144,1689
144,1710
144,1786
144,1841
144,1858
144,1867
145,359
146,85
146,308
146,420
146,867
146,995
146,1092
146,1094
146,1181
146,1321
146,1390
146,1451
146,1457
146,1583
146,1609
147,49
147,74
147,1178
148,420
148,954
148,1828
149,74
149,1144
150,1252
151,48
151,81
151,109
151,137
151,296
151,316
151,418
151,457
151,511
151,648
151,663
151,689
151,702
151,768
151,769
151,813
151,841
151,873
151,1071
151,1157
151,1164
151,1263
151,1394
151,1468
151,1508
151,1536
151,1696
151,1704
151,1885
152,43
152,128
152,140
152,239
152,254
152,291
152,313
152,397
152,442
152,471
152,494
152,533
152,586
152,623
152,643
152,653
152,801
152,888
152,1010
152,1075
152,1207
152,1212
152,1285
152,1317
152,1324
152,1329
152,1380
152,1449
152,1451
152,1525
152,1627
152,1644
152,1697
152,1776
152,1777
153,305
153,408
153,543
153,590
153,739
153,787
153,798
153,1008
153,1138
154,37
154,133
154,483
154,681
154,989
154,1164
154,1685
154,1804
154,1852
154,1858
155,124
155,128
155,139
155,287
155,290
155,293
155,294
155,304
155,361
155,363
155,385
155,386
155,392
155,458
155,531
155,533
155,557
155,611
155,612
155,643
155,698
155,709
155,748
155,771
155,791
155,801
155,817
155,916
155,922
155,965
155,994
155,1034
155,1043
155,1046
155,1074
155,1084
155,1085
155,1094
155,1137
155,1148
155,1233
155,1250
155,1306
155,1326
155,1336
155,1369
155,1401
155,1409
155,1415
155,1443
155,1445
155,1449
155,1472
155,1497
155,1514
155,1538
155,1627
155,1629
155,1632
155,1692
155,1710
155,1770
155,1864
156,165
156,922
156,1050
157,1020
157,1730
157,1771
158,1789
159,65
159,1055
159,1625
160,19
160,76
160,211
160,327
160,479
160,794
160,1017
160,1274
160,1357
160,1435
160,1736
161,703
162,40
162,187
162,224
162,251
162,283
162,725
162,787
162,1098
162,1359
162,1399
162,1540
162,1871
162,1889
163,278
163,1024
163,1040
163,1160
163,1282
164,299
164,1527
165,156
165,546
165,702
165,916
165,1050
165,1190
165,1434
166,1103
167,200
167,321
167,353
167,354
167,555
167,578
167,681
167,682
167,758
167,823
167,1164
167,1508
167,1543
167,1696
168,1139
169,40
169,46
169,55
169,124
169,140
169,202
169,213
169,217
169,225
169,241
169,243
169,282
169,289
169,372
169,373
169,378
169,390
169,392
169,408
169,439
169,448
169,454
169,462
169,471
169,481
169,485
169,492
169,495
169,498
169,502
169,506
169,517
169,533
169,552
169,566
169,600
169,626
169,632
169,636
169,637
169,655
169,683
169,692
169,698
169,705
169,723
169,739
169,757
169,791
169,792
169,798
169,840
169,857
169,867
169,916
169,938
169,1018
169,1037
169,1050
169,1094
169,1181
169,1187
169,1188
169,1197
169,1218
169,1228
169,1237
169,1296
169,1308
169,1312
169,1313
169,1327
169,1337
169,1340
169,1359
169,1410
169,1418
169,1487
169,1576
169,1580
169,1583
169,1592
169,1593
169,1595
169,1597
169,1604
169,1636
169,1643
169,1656
169,1671
169,1689
169,1710
169,1805
169,1820
169,1836
169,1851
169,1856
170,1006
170,1795
171,193
171,242
171,258
171,928
171,1022
171,1515
171,1737
172,1323
172,1567
173,136
173,199
173,349
173,416
173,467
173,487
173,537
173,709
173,724
173,798
173,1029
173,1063
173,1065
173,1117
173,1216
173,1314
173,1354
173,1475
173,1482
173,1500
173,1601
173,1641
173,1730
174,1164
175,1599
175,1762
176,979
176,1061
176,1298
176,1380
177,112
177,337
177,556
177,597
177,638
177,1103
177,1764
177,1814
178,321
178,689
179,483
180,46
180,74
181,94
181,198
181,467
181,498
181,878
181,1106
181,1368
181,1559
181,1689
182,76
182,244
182,1337
182,1357
183,40
183,56
183,610
183,882
183,992
183,1035
183,1136
183,1443
183,1500
183,1526
183,1558
183,1579
183,1596
183,1625
183,1795
184,601
185,47
185,277
185,278
185,296
185,366
185,371
185,434
185,440
185,703
185,707
185,836
185,936
185,1053
185,1121
185,1149
185,1158
185,1217
185,1359
185,1414
185,1468
185,1530
185,1536
185,1541
185,1543
185,1605
185,1616
185,1621
185,1647
185,1655
185,1742
186,316
186,351
186,400
186,709
186,952
186,1032
186,1102
186,1103
187,19
187,54
187,93
187,96
187,162
187,190
187,248
187,278
187,288
187,321
187,358
187,383
187,420
187,488
187,697
187,701
187,755
187,801
187,852
187,867
187,935
187,976
187,987
187,1024
187,1032
187,1079
187,1092
187,1164
187,1225
187,1241
187,1280
187,1310
187,1329
187,1331
187,1336
187,1337
187,1344
187,1379
187,1402
187,1435
187,1443
187,1447
187,1507
187,1517
187,1573
187,1618
187,1633
187,1710
187,1730
187,1769
187,1774
187,1797
187,1841
187,1864
187,1865
187,1880
188,813
188,1344
188,1466
188,1480
189,137
189,362
189,369
189,714
189,1482
189,1878
190,48
190,54
190,80
190,96
190,187
190,342
190,362
190,1138
190,1216
190,1290
190,1416
190,1788
190,1841
191,55
191,544
191,656
191,817
191,832
191,872
191,1337
191,1733
191,1863
192,783
192,1377
193,171
193,242
193,258
193,1022
193,1737
194,106
194,406
194,560
194,721
194,795
194,1139
194,1585
194,1682
195,18
195,254
195,317
195,327
195,333
195,348
195,373
195,386
195,387
195,397
195,488
195,533
195,534
195,626
195,627
195,643
195,675
195,698
195,791
195,792
195,801
195,830
195,864
195,867
195,888
195,916
195,980
195,1000
195,1008
195,1166
195,1176
195,1228
195,1295
195,1317
195,1418
195,1451
195,1485
195,1517
195,1525
195,1636
195,1670
195,1710
195,1776
195,1790
196,48
196,404
196,658
196,933
196,1169
197,218
197,339
197,509
197,543
197,978
198,28
198,59
198,94
198,119
198,181
198,286
198,349
198,443
198,461
198,467
198,487
198,498
198,503
198,537
198,539
198,710
198,798
198,878
198,917
198,1062
198,1063
198,1070
198,1106
198,1216
198,1368
198,1491
198,1555
198,1601
198,1624
198,1658
198,1689
199,2
199,28
199,94
199,119
199,173
199,204
199,286
199,349
199,369
199,413
199,445
199,467
199,487
199,498
199,537
199,603
199,607
199,617
199,707
199,710
199,790
199,798
199,1009
199,1062
199,1063
199,1070
199,1106
199,1117
199,1144
199,1165
199,1216
199,1260
199,1352
199,1368
199,1467
199,1491
199,1505
199,1601
199,1658
199,1689
199,1874
200,23
200,67
200,108
200,167
200,203
200,288
200,354
200,396
200,426
200,559
200,582
200,607
200,693
200,743
200,772
200,773
200,841
200,897
200,919
200,955
200,986
200,1047
200,1069
200,1121
200,1152
200,1206
200,1232
200,1346
200,1394
200,1434
200,1464
200,1466
200,1587
200,1678
200,1777
200,1787
200,1803
200,1881
201,290
201,698
201,1069
201,1390
201,1419
201,1795
201,1865
202,43
202,45
202,75
202,128
202,138
202,169
202,241
202,243
202,355
202,394
202,467
202,485
202,492
202,495
202,517
202,521
202,590
202,867
202,885
202,929
202,938
202,988
202,1085
202,1106
202,1137
202,1216
202,1369
202,1409
202,1476
202,1508
202,1569
202,1676
202,1689
202,1836
203,200
203,321
203,505
203,822
203,1044
203,1217
203,1230
203,1281
203,1466
203,1507
203,1696
203,1727
203,1730
204,119
204,199
204,670
204,1062
204,1064
204,1165
205,123
205,660
205,693
205,1121
205,1394
205,1498
206,28
206,369
206,487
206,710
206,1491
206,1658
207,962
207,1032
207,1084
208,1838
209,139
209,236
209,469
209,1011
209,1068
209,1140
209,1188
209,1324
209,1838
209,1858
209,1864
210,257
210,638
210,772
210,918
210,1048
210,1103
210,1740
210,1814
210,1825
211,76
211,81
211,160
211,368
211,544
211,832
211,928
211,1337
211,1804
212,43
212,54
212,127
212,129
212,140
212,218
212,239
212,301
212,392
212,470
212,518
212,531
212,590
212,756
212,816
212,902
212,980
212,1306
212,1359
212,1522
212,1556
212,1604
212,1710
212,1776
212,1818
212,1864
212,1880
213,43
213,128
213,140
213,169
213,217
213,218
213,261
213,289
213,332
213,333
213,363
213,378
213,388
213,448
213,450
213,454
213,492
213,498
213,517
213,550
213,675
213,681
213,693
213,698
213,776
213,811
213,914
213,916
213,932
213,938
213,948
213,958
213,981
213,1018
213,1035
213,1045
213,1053
213,1068
213,1137
213,1138
213,1306
213,1347
213,1457
213,1576
213,1583
213,1593
213,1656
213,1713
213,1760
213,1765
213,1818
213,1856
214,3
214,676
215,27
215,105
215,111
215,131
215,218
215,361
215,363
215,392
215,586
215,677
215,772
215,791
215,827
215,851
215,864
215,905
215,942
215,1008
215,1043
215,1207
215,1281
215,1597
215,1710
215,1816
216,9
216,359
216,698
216,746
216,865
216,948
216,1043
216,1045
216,1306
216,1345
216,1623
216,1696
216,1858
217,21
217,43
217,50
217,55
217,138
217,169
217,213
217,218
217,222
217,225
217,241
217,297
217,327
217,363
217,466
217,502
217,600
217,681
217,757
217,840
217,902
217,932
217,938
217,1140
217,1161
217,1228
217,1235
217,1285
217,1317
217,1469
217,1476
217,1497
217,1591
217,1604
217,1627
217,1636
217,1770
217,1821
218,5
218,43
218,75
218,105
218,124
218,139
218,141
218,144
218,197
218,212
218,213
218,215
218,217
218,222
218,236
218,289
218,305
218,307
