user,item
700,46278
4892,65639
1567,68083
1579,4352
1859,10973
936,53823
2627,35362
4147,93664
6348,102366
4640,68129
3032,49947
6859,21254
356,34094
1021,39363
3778,23115
359,21557
1692,69823
9,1926
2541,17395
6075,74845
2619,81566
1961,73294
2696,14363
97,10380
5545,2667
2906,26427
578,43342
3695,90597
764,15853
3871,91823
1090,48743
1407,17882
4484,95277
5413,22349
2487,58873
2899,31703
2900,84896
2818,20033
4575,84651
5892,53818
793,10842
5662,96739
1654,11149
1049,57140
74,9202
486,29726
390,35635
15,3234
258,23869
418,1838
3410,2092
1198,13446
779,11324
1496,25949
5274,4374
5220,1333
2816,79486
350,1689
5501,2096
2321,4055
3852,85526
6637,77913
5875,100734
2966,56925
1171,12482
694,42776
3857,91630
5964,101067
1021,56322
2077,74769
5469,99003
1043,56973
140,13798
2272,13750
1012,55794
3829,15056
6995,104142
6404,47962
1401,65330
2037,1783
5182,98407
6578,31126
3782,91103
5464,99272
2152,23295
0,457
125,12211
5906,92851
553,849
3020,14335
902,52518
2939,85614
6330,82398
3066,4471
73,8986
3892,91970
38,533
471,28179
0,660
3787,9964
6455,102694
7286,73300
4991,66268
4181,93816
4835,50811
1755,2634
5700,42290
1012,55841
702,46350
33,4901
4807,65619
1401,7303
6722,48094
578,7627
5363,8410
3659,90389
2478,79845
167,14808
2748,34163
923,53293
3779,31793
1999,18038
723,47467
3128,87407
4205,2707
1050,38704
243,7648
8,1389
6404,23246
494,40215
730,9364
2487,79928
999,53798
4852,97110
633,44629
110,7332
1060,57657
4660,96009
1057,7119
1447,38115
6684,98776
1012,5080
1216,61725
3778,83487
1813,34057
2896,921
1465,66701
232,6987
3539,38271
1954,5323
2022,623
6910,67092
2284,76363
3316,576
2682,82100
6404,66884
330,30587
4396,94805
6313,12821
413,36833
1402,16439
2449,41114
2939,8878
6051,97279
6358,100381
1097,58499
3769,4370
5543,1113
221,18074
563,42280
194,16532
2525,61184
1256,20716
4697,20794
15,3207
3835,37120
4045,93187
2039,74302
67,7009
2197,75793
824,9190
4573,95642
2526,22971
12,2422
2853,42927
3802,91237
514,40757
5506,77009
1012,55952
2753,49943
2943,15860
4706,96221
4525,44512
3196,75440
2907,1977
64,7672
824,2463
6035,58933
2573,2033
1087,3463
234,19410
6853,92855
1475,58940
7039,15410
6519,19576
2830,1409
278,27067
2398,19094
3875,50726
2853,31695
272,8257
153,14358
1441,37321
1883,69036
6458,64312
1970,1048
3830,2621
582,27955
2682,15012
3891,70708
5121,60835
5832,40137
2943,58830
1316,51478
670,27358
1311,12485
2522,71333
420,5221
4370,24510
6884,4849
1260,62696
2830,28756
2995,45193
1407,50234
12,2363
4842,97034
4217,83234
3830,91428
4879,10851
2930,71487
2658,81882
377,35219
281,12551
3866,27582
376,35094
5996,58686
4917,13216
1401,7569
4841,83107
5521,33036
3860,84987
5983,21299
2880,67298
4706,93302
350,32963
291,2462
2075,19633
824,18456
6008,101274
1836,72066
236,19986
492,40190
1103,40842
3917,73306
3040,50540
2823,8176
2886,5311
6001,35204
286,27508
1021,17326
46,6124
2020,13454
1232,16881
256,23251
342,32168
1900,64200
392,35739
6541,103008
2375,4195
5754,88577
1143,4369
1441,66049
3068,1811
2007,73910
5682,48881
1150,60703
6960,104008
2434,56111
3514,89626
2016,73995
3668,90420
173,15117
2380,59431
4814,89821
754,17070
1087,58131
1158,60790
2791,83388
3560,89889
1409,8639
6461,102720
3893,79458
3873,43806
5024,699
11,2233
1114,2053
66,7623
3901,12026
1567,61193
255,8371
852,2785
272,6644
5754,5176
6734,1035
1758,70946
6310,78805
273,26497
1329,18251
738,48048
1429,25043
2409,58830
1171,61029
866,51688
6166,101917
392,35871
5506,26358
723,9260
343,32544
327,29525
2681,24676
3473,9964
6009,51321
356,33943
3784,4339
6791,4747
2684,82126
5655,7508
2297,1744
3639,79326
4124,2679
115,11698
333,31110
2941,85784
265,25174
3823,76507
2548,66624
40,5510
33,4932
3077,49951
1088,58145
239,2791
1673,51833
31,4760
8,1524
0,102
6051,39194
578,7501
692,2481
1012,55748
5092,97973
6557,40916
1421,46943
1789,71229
6581,26358
1625,2512
26,1113
272,25852
327,29607
1164,1819
525,41106
5799,75340
3082,87188
422,37467
34,5212
2255,76695
868,4341
2626,19202
2453,79514
33,5026
6051,14813
5785,31608
850,51171
1012,1747
317,4791
6970,47884
631,16413
4464,3599
1011,55674
694,23565
415,34005
6657,60220
2472,79768
4141,7553
3891,91630
988,55114
108,11119
1625,26119
2939,38387
604,2791
5743,100213
631,2775
5416,66528
800,613
2272,72116
3380,35177
3851,12065
3834,14566
330,24577
3235,80347
3919,52106
1919,42878
4264,310
375,10325
7097,23168
272,2478
256,6912
3930,68926
46,6075
1595,68438
65,7499
5586,42568
4849,5796
5114,46853
4037,5159
1990,73643
2675,2584
3873,2666
634,1069
750,7434
7162,83050
2884,28728
2939,28309
5484,76216
5468,99285
3001,2766
3923,58841
2343,2049
4811,27239
480,39702
2961,68123
3764,90964
2943,85804
2545,37852
1982,52860
5467,10583
7056,47903
74,1779
4697,96150
1132,15971
2713,482
2618,80318
6029,61945
7340,105032
2487,80025
295,27974
574,42741
2103,54142
22,4147
1899,45370
6053,26302
6097,12069
1444,6910
1143,60596
150,2947
902,4034
67,8651
599,44075
6972,58778
3902,78880
3668,7822
697,46221
1401,7636
2088,74889
7089,68544
211,17717
864,34430
2971,86067
6744,103423
2436,6372
1249,62411
1114,29755
4203,93894
3814,91300
2390,78292
1132,60323
2371,78015
2331,77592
356,2766
1628,68811
1338,24747
2518,80410
3635,10091
39,5410
330,30173
3944,21258
4852,6693
800,50341
342,32020
113,11511
6821,83656
1593,23179
668,1055
3894,74988
242,20739
898,25261
2773,4057
36,5305
18,3850
6075,94751
1441,2667
1545,67738
2772,15699
739,48119
644,45006
636,44870
1095,35376
5621,20467
6297,58928
258,24433
415,37085
1636,10898
5537,9964
4717,66795
6816,43806
327,29646
23,4251
1629,17492
2103,75027
5744,51451
1095,10254
3714,18749
2430,79035
6850,83812
2864,29177
1636,34663
5133,1806
3143,49301
634,1746
1305,13216
4207,21697
4001,72306
233,19299
3027,86519
2082,74802
4392,89644
259,24826
272,26086
468,39080
745,1961
272,26461
3148,42865
276,26846
7323,36665
5899,45942
2928,12042
1037,4296
2869,27250
6472,12302
1251,9123
1662,69375
2881,28891
1089,6919
607,44228
726,41297
6449,24364
2761,42892
128,12615
1783,51378
2695,82281
2032,13818
5357,24979
392,35986
273,22477
2206,75843
837,50953
4164,93734
5719,82843
437,38039
64,8025
3498,6377
82,9451
716,30486
5413,69825
6054,58892
3499,89546
6871,103769
135,13243
97,10512
243,20952
1272,19225
2161,75451
5117,98095
277,26975
2905,49700
1731,70503
837,11563
2037,3587
1912,72684
1121,60094
2362,5409
275,26805
4533,95465
1848,72178
795,50219
6968,70158
4412,75393
2001,37288
1644,69022
769,49520
5946,32821
4092,22295
4205,8579
775,49599
2575,2791
586,43813
316,29091
1104,7652
2921,26393
2718,2786
2275,467
4664,96024
4204,2739
2823,7243
2588,4074
6420,95389
1496,2739
2244,76551
3894,42304
2236,20795
510,35266
1710,31663
2734,82699
275,428
6114,14584
4997,28377
23,4284
6781,103489
5503,35153
330,29858
100,10768
3345,14445
2744,4848
2868,17023
975,54730
2682,46511
1055,9817
4141,1055
243,1857
342,32424
1057,1210
1176,61108
2042,74400
3945,92379
1190,576
974,8696
2847,77727
2259,24888
2479,38059
2289,2739
6320,102295
1414,65721
256,23250
5276,63290
5363,2741
902,21390
363,34226
2013,4369
4449,5221
439,38278
4824,25265
3193,87875
183,15441
1029,56457
4558,88312
4799,27272
259,24599
454,38682
2231,63730
735,10317
2814,83611
902,46077
1112,59149
4904,79921
1187,10943
2869,5206
563,42314
5564,16616
135,13399
2790,83326
5233,53608
6857,103711
6236,77761
254,22374
116,11795
17,3726
4338,94499
1788,71218
6633,32350
4026,93024
2827,83749
135,13628
4845,28728
1515,29754
2343,61682
3032,12505
2427,79009
5760,66115
3319,13279
6442,11920
4252,43093
5754,2056
4204,30614
298,28183
332,2037
753,17143
3995,92806
6130,101740
537,41689
4333,490
1103,11208
1959,62249
5706,38545
530,41312
1316,20794
2910,9319
0,645
2441,34629
2014,66034
574,42744
358,12951
1725,12624
2979,86122
232,19191
271,25685
1444,4211
3156,58889
241,20610
692,2466
5996,6835
902,9984
2780,1340
288,27533
4195,51696
2040,1746
3775,21290
925,46520
6867,103745
2547,39197
1621,68742
5121,42790
330,30734
1255,34603
226,1899
2238,50141
1142,2090
5160,77475
6132,101747
3087,63999
2405,12513
1900,15336
2681,82067
2873,84406
1139,60466
565,39946
6522,75583
2287,77026
2622,6912
3867,26224
623,44391
2918,51515
5706,100105
1120,48672
824,50648
634,20479
1120,20388
7112,92851
4435,7185
1346,21676
376,6379
1496,27215
234,19707
3365,88888
6085,31888
194,16666
564,18741
1561,4613
2482,79906
2394,7059
5786,90338
2640,11396
7171,79560
233,19322
3320,41118
60,7144
211,17727
1275,16617
68,385
6425,59020
6264,70082
4888,3883
931,36563
6400,64172
101,4370
891,13859
5517,2070
1762,1357
397,29206
11,2217
2874,84413
5415,79133
346,11798
5253,98622
6098,85142
71,8770
14,2737
5651,14228
747,11030
7243,45447
1334,64305
355,33660
1103,14724
3142,26209
420,37370
7000,26208
1637,2802
4471,19695
238,20271
2094,72571
745,48523
199,17086
578,43302
3789,69551
3039,52009
3356,26251
1674,25077
1359,943
5441,16180
824,50701
1007,55582
1648,69066
1182,61196
4950,64433
479,9947
442,2754
1169,60957
5962,27204
4236,94022
3867,10093
2652,19346
2525,58746
928,53344
1189,3921
51,6815
1457,66441
1457,4342
4697,92430
534,16636
2525,80472
1625,36156
874,51774
100,10821
202,17315
1799,71381
5470,99292
5429,99182
2705,76424
1088,36696
2287,26095
272,23271
1095,58475
7097,42951
6596,103132
1662,61546
5590,83272
188,2319
135,13575
902,1981
1029,56469
6421,23251
578,584
307,28692
537,16372
2384,645
5803,1357
451,38564
215,17827
7157,14957
4864,97154
6555,100526
343,32539
2924,15517
196,16938
4131,576
3183,65076
2577,43822
271,5049
3204,88012
1541,15274
2293,77089
2912,85065
729,47861
6747,7740
1831,72035
3032,17252
96,10336
5971,87685
438,38076
6098,12047
550,42012
3939,23879
3874,19573
5100,98036
952,4369
4485,16359
524,39047
857,51390
5203,41972
913,2475
2794,8601
4149,4546
1275,21110
5132,61056
3044,86808
726,4524
220,2068
2625,2791
372,34514
271,25523
232,19131
3896,27044
2747,6619
2940,58963
307,28669
1287,8363
857,2914
2889,79636
2907,84996
254,3090
2942,76922
3211,88041
290,27670
5992,28728
5380,54555
1168,3448
3099,87287
1095,47373
7020,104187
135,13048
4605,70199
2234,11920
5584,66368
242,20732
5787,74450
3082,86741
0,481
46,5769
2394,78406
3572,1069
289,7773
5866,63827
7262,58814
4449,63851
202,17310
1518,49622
3493,43885
3194,87885
64,7441
637,44886
5969,43050
4438,15190
46,6207
4245,7166
2889,37283
2941,85768
1012,26458
3118,6809
410,36703
3118,49262
2346,4374
3163,44973
1523,2008
1791,2066
928,3869
955,38313
6075,62306
231,11375
3851,12523
2715,7276
3725,10813
6184,101954
2525,80457
4631,95851
2968,73451
3025,9364
5415,23251
4398,52483
389,11437
1546,298
2993,86228
1892,72427
3792,48397
708,14901
7317,58830
4945,64687
46,6324
3039,2040
4676,17137
750,48705
5350,78399
739,48124
1496,11613
480,39777
4126,93587
5483,40465
465,38968
2933,36244
135,13559
3255,6809
6181,60410
1690,40815
258,24228
1847,72148
304,28382
5565,76512
1120,59905
2558,42915
6668,4369
5305,31636
5045,27251
1929,23090
5773,86183
1743,70750
4850,96050
271,19967
4824,45237
89,9879
14,2594
4027,93057
636,1590
897,52138
2095,74959
2787,28153
232,18826
3852,7172
5058,83984
1426,41057
1883,72365
2950,2041
39,5466
2456,252
2174,20953
828,50812
114,11596
2941,27589
1491,66978
3350,30815
7040,12001
468,3540
3438,68937
6628,103201
1110,59125
2890,84739
1042,56959
3040,79163
336,31594
3985,92668
5160,10842
3996,43428
127,12490
392,35756
2479,76862
1385,38379
3161,87706
2645,41105
2547,80917
6980,7314
6523,91719
1200,8290
1407,54818
839,14845
2574,8371
3744,30678
236,19980
3873,58901
586,43776
1426,65807
4701,7275
4337,27636
276,26837
258,24048
2940,84771
1012,16253
3257,2741
753,10271
478,298
4951,2781
1027,56434
6255,35205
509,40666
4700,96170
5963,101001
233,10008
64,7616
4102,46107
7110,32311
681,45876
3631,66881
2625,81602
1091,9257
6098,100449
6989,23288
2562,81004
4280,46081
3022,25064
3629,50109
6019,7345
5188,16364
2017,10847
129,2280
890,611
913,53000
114,11528
1827,59908
2748,53816
1222,61779
330,2040
5803,1896
1443,37118
6423,19999
226,18474
3869,65144
1906,2584
4917,81754
4038,32808
2690,82248
1799,71391
2343,77723
8,1567
1562,67996
6103,2293
3362,632
5898,5209
571,14899
6812,36244
3348,4006
2030,74188
7166,91338
2157,23276
1382,15057
6139,2056
1694,27606
3944,7011
2234,76334
2630,7249
902,179
2900,632
3991,14966
1232,62281
294,2680
2268,71816
5639,84520
2487,76195
5515,86281
6956,42870
330,30960
2681,1069
537,41647
3668,19143
2430,79080
1262,62762
4349,94542
65,8203
2030,40307
338,27430
6825,24182
5678,100042
871,48098
1301,52880
3172,26231
745,16864
1731,16419
1634,34816
5903,17137
4773,81153
414,27968
7350,889
3376,45813
256,23336
2344,73594
1738,69092
5135,98159
646,8371
634,44649
750,22972
4389,10203
5652,50414
1564,42130
2027,4809
2353,19055
222,3435
3150,1340
373,34542
2943,56411
906,32308
750,25023
3729,490
1806,56557
2037,38264
197,17004
258,23617
2444,79312
874,51771
2939,45368
64,518
670,45583
2859,84151
1673,69703
1790,51848
3949,92447
2121,6915
523,40922
537,41731
85,9653
8,1558
554,868
2412,2680
5274,64471
6771,33853
7340,57557
4516,70664
6775,103478
1084,58043
7269,104872
1885,4339
5378,70792
6604,15155
3107,87147
2013,33606
697,46195
2526,13937
2864,56899
4542,40216
1935,28590
1477,12045
4414,94905
302,7372
6627,26185
681,889
7296,31427
210,17680
239,20429
2967,22661
7190,83632
1012,55985
3317,2781
5443,99217
6519,36665
89,9846
333,31123
1482,66924
65,8292
392,36085
1017,56177
2441,8579
3350,83612
3858,5197
4801,45392
7098,44352
6389,8247
3585,2297
90,9992
3486,64691
283,1339
3896,74463
6010,56934
3516,16193
4959,97505
3841,14801
3231,2083
2731,1896
3894,92036
234,19625
7121,585
127,12387
720,47211
2890,84740
234,19559
2058,5205
7196,15041
1021,56244
2043,74419
5133,79567
6980,84542
6941,19102
4801,96816
18,3888
3093,43563
1995,64602
108,11155
40,5512
7015,103149
3821,66343
3858,91644
315,23886
4190,74256
3390,53783
2134,20876
274,4993
2821,26384
304,28557
411,36704
4277,94188
87,9693
5523,99425
1496,7314
3867,57557
2986,51905
1429,20693
1190,35291
1762,44469
2899,52048
2793,83433
4939,97448
4296,46379
2292,53820
5730,44874
1813,34091
1813,55497
5157,76333
6118,92071
0,614
3878,83110
2864,73943
135,13332
342,32290
1991,73668
33,5071
1588,2412
4832,35510
2924,73172
4841,91619
1643,69005
1336,2754
64,8175
2750,11192
1027,3931
4731,632
2985,2741
935,53801
128,12608
3398,89061
3352,11458
6992,103109
3024,45259
2917,58910
2746,82775
793,20957
7343,31702
3154,87662
924,53297
726,4296
1728,8886
3543,89777
15,3168
336,31499
1518,67363
2688,8257
330,29789
1991,21297
3421,8865
3892,74623
7015,102319
720,47206
249,13238
5496,79448
1335,1010
6101,14363
6301,27205
238,20254
4899,97306
2574,81046
434,17925
6329,24756
524,41053
2748,16591
4012,92942
272,26472
397,36267
309,28868
260,24863
4180,93811
1085,1885
7222,37581
2685,27410
5508,31671
2762,2110
6332,8860
1959,9483
3120,87379
998,2741
3552,23090
604,921
465,38937
2940,38453
15,3237
330,30055
2756,82841
6814,85261
1195,61447
3042,45437
278,27027
2574,44430
153,14345
2899,6586
495,40286
2733,36652
256,966
313,20095
4023,31389
5630,45694
3290,88496
1008,2707
2029,74152
2435,64174
1089,2073
2876,84479
741,48354
1103,58661
2484,54483
451,6912
15,3246
1077,10791
4035,1889
5664,7824
2899,84823
3923,618
3838,79704
165,14688
5952,27235
1457,16617
2781,83122
6051,26328
646,45176
4741,80994
4176,50376
255,22461
3924,65894
4839,90919
400,2644
815,50498
2442,44181
5557,99506
236,5252
1131,55051
6814,74471
5648,15685
446,17137
3851,35162
1618,33828
6833,42317
2832,14444
2567,15948
1152,60735
5660,42632
5720,63442
2040,2739
1374,64872
2379,42957
4123,37236
5503,99367
355,33433
268,25342
6412,14589
1153,16539
3396,89052
2487,80101
3424,53709
2869,36931
263,359
4910,77677
333,31105
1227,477
6552,26330
6382,31745
3900,92099
4421,1113
1900,14206
67,569
2799,34648
9,1777
6267,5302
1401,8311
1029,56478
7088,29712
6842,88874
5970,9815
3292,5431
233,8471
4811,57079
4965,76794
567,42490
3211,3921
188,15732
713,39077
246,2767
967,5220
272,26458
4278,94200
456,10340
6833,1977
2955,85910
2450,79473
2181,75655
465,38971
1567,68088
1656,69137
4430,46002
471,39144
411,36788
247,21502
6505,102888
5927,17147
2420,78942
1435,5206
1565,54196
2579,16890
741,48403
3074,3614
1665,69624
4450,5123
2773,82998
1294,63590
3664,90412
2239,76515
6746,1122
4801,64466
5667,100006
4573,73461
7210,5409
1794,2019
312,28992
426,37584
1329,64118
273,26492
3054,4968
3701,63883
5718,1228
2412,615
1643,2741
7153,58952
6265,65868
6007,101266
167,14802
2584,14584
141,3784
373,27285
5203,50146
2570,43462
3891,23898
1152,3587
945,8299
1313,36682
6649,27567
2713,82510
3288,10229
3869,91799
50,6771
4004,92876
3653,90353
1447,66324
1429,65860
1335,24784
1098,7932
7153,71855
4169,528
7228,80117
4022,3152
578,43188
145,14044
754,49115
234,19588
5593,99603
4514,17515
4612,95778
4857,97147
245,21198
1719,70113
1736,70600
2409,40137
4600,58834
4085,78986
6053,101433
342,32418
1314,63879
850,39394
1462,26078
3389,4369
277,26965
2436,79122
47,6688
2380,48721
358,34132
2972,8911
3866,1091
2029,2584
750,48821
2412,30819
1084,8706
2575,81214
5935,35674
1190,61336
4449,1446
6075,60870
2518,16914
7213,18038
222,14718
2326,77474
188,15832
1737,70617
1147,32270
237,236
184,15538
2480,8470
5971,6372
7343,14888
4151,5221
1379,5126
590,28798
342,32024
7186,17421
856,37626
4321,94445
1029,33926
2577,13621
120,11968
671,45601
157,14433
2612,81441
193,16036
447,2788
470,2766
916,49629
5286,26169
2238,598
1995,36900
2030,43540
336,31426
3024,86462
2593,81322
862,51611
1364,47896
5666,62874
475,39256
4717,89450
134,12889
2001,39796
5168,54337
6241,57557
2690,26128
5902,100812
6848,53225
2002,61558
5046,10045
3614,3604
1715,70073
3235,5142
3273,1113
2074,74745
2898,28590
3851,35162
366,31039
1794,3845
1120,444
955,54254
5821,73041
1027,34867
525,41142
414,36919
741,48352
5579,1340
720,27537
5662,99998
2030,66178
1539,67633
1977,73415
193,2005
2112,10586
2566,2023
406,36538
3498,89538
0,451
2309,77272
272,26200
609,44253
2541,2739
1444,2791
3669,5766
2301,18308
3643,72548
4245,12808
166,14719
4742,40860
1103,38327
4413,16613
1956,34104
6519,42835
7112,104472
883,46410
1029,19969
5996,80826
7021,16315
1985,73561
342,32116
6537,88996
167,5547
2040,30658
6857,15100
1403,65425
7097,14899
5096,35384
2853,84116
6818,81153
6572,48510
6410,79195
512,9548
2848,56928
6224,41795
5803,41078
330,30560
4849,8584
1029,56463
234,19670
3763,28167
305,28575
3210,88035
7021,1030
1737,4060
74,2924
533,41356
1782,60764
3838,56037
2697,24192
4200,41188
5346,74421
1103,55117
282,9632
3832,5949
3554,610
2975,43423
1946,970
64,8149
6169,42875
43,5633
219,17287
1114,59223
578,26867
2547,1069
765,2072
2767,82406
2886,36931
416,37182
2688,74071
659,45443
3126,87401
896,52133
2413,76922
1131,39024
290,490
4718,57789
6404,26427
3893,92016
301,9485
2223,56390
193,16369
1930,4025
5590,75905
6858,1959
191,15983
2062,24959
4007,82605
2901,84922
2249,25082
4298,94285
6486,102824
745,48560
2231,31477
4672,34828
2943,16410
2890,81757
4812,4055
196,1003
6968,104025
4835,75333
5218,21296
4413,63060
2658,924
2567,42896
210,17706
7284,4254
3005,86313
2820,83655
6269,34786
1676,63609
6059,101456
278,26995
5662,99975
5589,14797
2455,11567
2015,73978
2993,30873
289,27570
330,30844
2995,4060
1478,1069
6727,61245
5285,58838
3039,44473
1433,48220
3557,76352
481,39840
5122,16322
7341,96396
3257,88335
6736,91286
251,17930
681,45838
5746,67949
2943,31685
725,19344
2291,77047
6463,84482
5359,66244
4027,73026
499,15611
2918,85186
4497,10234
296,28021
5988,26269
600,44159
626,36947
1260,54490
2079,74783
578,28706
3023,86436
4961,1930
6391,84689
4401,2048
2645,5132
5448,28728
2123,75219
2032,40181
330,30656
36,3014
6205,28762
1028,56444
1444,1065
868,579
1898,14444
2985,39523
3764,4339
2968,17812
433,1602
1782,10466
1011,55649
3008,24786
1972,73386
2461,79645
6288,4281
639,3296
151,14288
717,46898
228,18534
1272,63048
857,51398
3367,2667
1738,70636
6423,53184
785,49895
1744,2584
135,13418
4599,17868
3012,12879
952,54179
2717,4102
434,37873
3179,70183
902,7829
1012,55971
2791,83370
750,48789
3410,89136
2318,77366
525,3573
4651,70896
976,15660
831,50831
7238,1048
6210,63609
207,17555
726,8371
896,22591
2073,70037
1084,43276
3629,11017
2358,77914
918,1428
5066,97904
1103,8860
2337,77646
6241,1995
1338,8371
256,23119
931,20838
465,4340
2180,10704
2578,81222
391,270
7222,26916
2541,2634
971,48173
196,16946
330,30934
2902,10068
256,458
1799,71375
5708,23179
3496,3573
5902,100807
7167,24637
94,10166
6019,74869
3192,6643
1465,41143
6417,79887
280,27223
3518,1830
3482,1113
202,3353
3074,87133
1084,48718
3624,56214
577,5557
3838,91495
33,5048
283,27444
1460,5221
3120,2766
2282,76993
207,17529
5121,84001
1444,64384
284,7314
5563,93064
64,7917
6675,3564
4266,16798
4414,76756
1821,71858
2630,15469
2880,84554
2534,80768
574,42998
4337,1055
2967,85977
369,34411
116,11828
1829,71962
5544,16396
6400,6372
6474,907
3184,43022
1328,8397
2658,40711
2574,11759
150,11597
477,26591
1084,58087
672,14117
521,11014
1147,60663
5725,87399
2666,14187
1921,38445
31,4767
2505,80284
524,41069
5705,88131
2931,1073
6114,9054
1813,38334
371,14504
3873,83662
5115,17124
1820,13955
2487,70542
634,44768
2746,82768
46,1472
578,43425
1847,72123
4801,10254
610,44265
2864,11969
1461,9456
5957,100937
3852,26467
410,36683
5925,96297
2939,27547
3919,67232
325,15199
190,15935
407,6464
6284,102232
723,47451
306,28602
3726,1889
976,4622
5662,43099
2934,67059
4449,60233
46,5883
3282,34682
3560,287
1778,58092
1439,15261
1832,7182
4917,41173
1260,3575
2479,15662
2461,53786
2479,47104
5685,73003
4771,96549
649,10849
3289,82499
3369,23251
1278,37093
204,17437
1235,2741
2300,77129
7358,1084
1735,70584
5611,99648
267,4677
2999,10045
318,7673
3271,1113
555,42166
881,51856
2412,78780
1939,72853
3367,6912
256,22867
1012,56067
720,47252
7220,104736
3000,4352
127,12457
6092,53792
2013,23348
788,9873
1643,26044
3197,28915
5122,19098
1041,55309
2355,35654
578,32498
7021,61346
4449,2779
4027,49348
6404,498
1981,73475
2018,54137
2939,85629
4695,84096
4803,51584
1499,8371
259,24788
1501,67179
720,17465
64,7825
454,38690
3010,49400
267,18341
859,490
623,3802
258,24007
4367,70337
6353,29706
2327,7943
5140,15095
1058,57626
4824,58887
1002,16435
311,28930
3827,4339
2102,4040
574,10816
14,2703
210,15551
4177,93803
6404,73182
3074,4342
173,15028
2223,70896
4754,10044
4139,2781
5374,65223
646,7119
4261,94126
2148,75328
2943,1842
2737,1069
896,48110
2917,85139
2274,2416
3518,29311
3912,52281
789,50027
2443,27273
1714,16425
46,6301
1120,26407
1412,65706
725,7917
375,34793
574,42801
382,8331
4869,5488
1104,59046
837,1383
2551,59087
195,16798
5096,33014
2319,14014
3985,92706
4177,1065
6054,7184
2471,3665
2246,76574
2249,10466
2787,3628
6316,632
154,490
258,23375
3381,26369
1120,29632
6574,12302
2525,80660
3157,12078
1369,25947
2238,76477
3930,92290
5355,86170
2939,58846
1871,72279
4357,6939
1756,57377
2051,19725
6668,5221
4511,78952
753,10446
6531,7288
6853,17427
6153,101878
2780,61957
21,4084
2791,21289
584,39303
5255,10926
5883,10082
5545,6912
2209,14446
2321,5252
6894,103828
6767,5166
6138,101768
3211,71546
5508,99396
2691,72037
7130,84052
0,187
1641,68964
2074,34060
2713,9723
3092,53860
2812,12821
1103,56902
1232,45339
3949,79406
1054,23212
15,1495
2770,2739
1619,26083
4650,87772
23,1852
230,18801
398,20014
935,455
2823,10855
944,53942
1861,4151
6153,79035
4854,11954
836,7603
2933,13436
5936,84107
2761,80056
7190,78832
3944,84157
1988,73605
574,4064
135,13001
2424,78963
1202,21897
1165,51115
195,16863
342,1449
7370,105111
2380,12530
2030,74183
4123,28728
2773,36586
6560,42304
64,7718
508,2460
5779,17147
4846,1999
234,19432
3321,15303
3032,74222
842,47995
525,41156
1170,55218
2100,75011
1112,59178
3825,58478
120,11976
3526,13962
5950,99233
297,28106
226,7416
626,15153
3152,87617
3356,15398
2790,39138
2541,30927
768,49472
202,17251
3285,2766
850,1918
94,10154
6324,52700
2449,79462
5960,76196
362,34191
2225,23183
2181,75695
6153,100867
1758,70959
726,5217
255,22827
5278,58698
1335,64316
1497,20487
4810,96876
2300,1687
2937,45365
435,11178
1287,63460
2354,77847
2171,75561
2939,59030
5938,8371
741,48338
